"课程名称","课程类型","课程介绍","课程链接","二级部门","课程属性","授课日期"
"AI赋能产研：平台构建、数据智能与场景创新","研发技术类","AI浪潮席卷千行百业，企业产研体系正经历深刻变革。本场分享会聚焦""平台构建、数据智能、场景创新""三大核心维度，带你从0了解新一代软件工程产研平台底座的搭建全过程，探索AI赋能数据分析与精准营销的实战路径，并深入解读""篝火""模式在复杂业务场景中的创新应用。三位资深专家倾囊相授，助你打开思路，找到AI时代下的提效破局之道。","https://ebg.iflytek.com/article/detail?id=m8qkazxuawtovqked4pufvmr","技术平台部","","2026-05-13"
"AI 赋能教育内容生产：从平台 AI Ready 到 Harness 工程的提效实践","研发技术类","本次分享将围绕大模型工具在教育资源加工管理平台和教学工具平台研发过程中的落地实践展开，重点介绍团队如何先对平台进行 AI Ready 改造，让项目结构、文档、规范、上下文和验证机制更适合 AI 理解与执行；再通过 Harness 工程 构建可持续演进的 AI 开发环境，使大模型工具不只是“帮忙写代码”，而是逐步参与需求理解、方案设计、任务拆解、编码实现、问题排查、代码审查与知识沉淀等研发活动，最终形成“越用越懂项目、越用越能提效”的工程化实践闭环。","https://ebg.iflytek.com/course/detail?id=wlhaxd8vwp0w6vzexp0630gq","技术平台部","","2026-05-27"
"从Copilot到Agent：AI原生研发的范式革命与Agent工程化全景","研发技术类","本次分享穿透30+篇企业实战案例，回答一个核心问题：当Agent已从Demo走向流水线,工业落地真正比拼的是什么。上半场以「从Copilot到Agent的范式跃迁」为主线，串联京东、字节、百度、阿里、携程、B站、Zilliz等15个一线案例，给出Prompt→Context→Harness→Agent的统一脉络与可复制的6步落地路径；下半场切入Agent工程化全景,覆盖架构运行时、AIOps/RCA、Coding/测试、Agent中间层、业务领域5大主题，提炼8大跨场景共识与6大反直觉判断。","https://ebg.iflytek.com/article/detail?id=hsjw8qagvt5n99ttgaezcx57","技术平台部","精品课程","2026-05-21"
"智策领航：产线AI赋能实践进展与公司AI政策机制解读","AI应用类","同步产线AI的常态化应用进展，并解读公司AI相关政策机制，助力大家更顺畅地投身AI赋能行动。","https://www.21tb.cn/IN4NE0nu4QXFJ","大学情产品线","","2026-05-15"
"实战分享｜AI工具设计协同实践方法","AI应用类","《实战分享｜AI工具设计协同实践方法》","https://www.21tb.cn/IN4NE0nu5RLWs","大学情产品线","精品课程","2026-05-22"
"重塑生产力：AI+自动化流程与云端智能问数实践","AI应用类","打破技术壁垒，建立‘AI+流程’的实战思维。无论你是希望告别手工报表的数据分析师，还是渴望从重复劳动中解脱的业务骨干，都能在这里找到低成本、高回报的智能化落地路径 ","https://www.21tb.cn/IN4NE0nu60tJc","大学情产品线","","2026-05-22"
"当产品遇上AI：团队协同提效的实践分享","AI应用类","围绕 “当产品遇上AI：团队协同提效的实践分享”，聚焦真实场景中的工具落地、流程优化与效能突破，开展深度案例交流与经验碰撞。","https://www.21tb.cn/IN4NE0nu7RKU4","大学情产品线","","2026-06-05"
"AI赋能运营：效率开挂实战指南","AI应用类","聚焦运营场景中的自动化工具、内容生成等高频痛点，分享可复制、能落地的实战打法与避坑经验，帮助大家真正把AI用成“外挂”，让运营效率翻倍。","https://www.21tb.cn/IN4NE0nu94kLA","大学情产品线","","2026-06-12"
"设计AI 提效分享","AI应用类","主要同步AI冲刺小组近期研发的一些实用插件，并结合真实工作场景，分享最新的实战案例，帮助大家提质增效","https://www.21tb.cn/IN4NE0nu8aYDX","体验设计中心","","2026-05-28"
"从信息收集到辅助决策，AI助力市场洞察工作提效&标杆校打造过程中使用 AI 提效","AI应用类","&学习 AI 在标杆校全流程打造中的落地应用手段，借助 AI 优化校区运营、教学打造等环节，缩短标杆校建设周期","https://www.21tb.cn/IN4NE0nuaKcMa","高教客群市场与方案部","","2026-05-08"
"教育评价理论、政策与实践：从评价认知到产品落地","教育素养类","从""评价""视角，建立与局校领导对话的共同语言和政策高度，引导评价产品。认识教育评价:概念、类型、功能及理论；评价相关政策解读；学业评价用户需求分析；学业评价全景与产品矩阵对应","https://www.21tb.cn/IN4NE0nubEx56","市场与方案部","精品课程","2026-05-08"
"成效解码：数据叙事与价值闭环—大学情产品应用成效指标解读","产品类","针对不同角色，提供量化产品价值的数据指标与呈现方式，解决“成效说不清”的痛点。系统回应大学情产品“应用成效是什么、如何显性化”这一核心命题。课程以真实案例为基底，融合政策导向与理论研究，匹配差异化需求场景，采用“量化指标透视+质性故事线提炼”双轮驱动的方式，完整构建“问题—目标—动作—效果”证据链条，支撑实现面向客户从数据到价值的闭环沟通。","https://www.21tb.cn/IN4NE0nucGJ6y","市场与方案部","","2026-05-08"
"数据采得准，评价有依据—联考、数智作业、批阅机产品解码","产品类","理解联考、数智作业、批阅机作为“数据采集工具”，如何覆盖不同评价场景。","https://www.21tb.cn/IN4NE0nudMaE0","市场与方案部","","2026-05-11"
"产品解码——数据分析端：如何从“评”到“教”的精准赋能","教育素养类","掌握如何将采集的数据转化为驱动教学改进的洞察和行动。","https://www.21tb.cn/IN4NE0nueWnmt","市场与方案部","","2026-06-11"
"政府采购项目运作要点","市场类","掌握政府采购关键要点，识别各环节风险","https://www.21tb.cn/IN4NE0nuhLC9D","考试与语言学习产品线","精品课程","2026-05-23"
"科学产品交付SOP及奇思妙问好奇窗产品介绍","产品类","掌握科学产品的功能、价值及交付流程","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=9ca2548e0bdb41ff9b70e435821decc9","科创教育业务部","","2025-08-01"
"科学政策解读&科学产品配置及报价参数","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=d65396d932704e0f823d14a500d2bff7","科创教育业务部","","2025-04-17"
"渠道赋能&奇思妙问价格策略（初版）","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=4e3173073efd41c4959f89b68354ec5f","科创教育业务部","","2025-04-24"
"素质教育业务部政府项目运作及商机管理要点分享","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=fb0e13e1b4fd41fb92605558f810ddfa","科创教育业务部","","2025-05-06"
"科学产品基础教研专项理论知识解读","产品类","提升产线交付及大区交付科学产品基础教研能力","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=f4aecb981ef440a2a7d477824b1c769a","科创教育业务部","","2025-04-15"
"科学产品基础教研同步教学专项赋能","产品类","提升产线交付及大区交付科学产品基础教研能力","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=3cc8cb15142943439fb3036e667c007c","科创教育业务部","","2025-04-29"
"项目基本概念通识及全流程概述&业务线LTC交付流程案例解读及注意事项同步&应用成效打造","运营类","提升交付团队专业化能力","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=160d882fc43d405d8ecd3eb5af1090e2","科创教育业务部","精品课程","2025-04-01"
"央馆AI科学实验室产品演示培训","产品类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=5c0475ab603143c5a192ad937b710965","科创教育业务部","","2025-10-28"
"GBC联动运营方案介绍 &大校储备合作协议讲解","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=a932c73675134333aaad3716366fed33","科创教育业务部","","2025-11-06"
"素质教育招采常见问题","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=bace14e40ff34eca94daae48ce29081f","科创教育业务部","","2025-11-13"
"预投入管理办法专项赋能","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=843a64e36f2c45f297d7a7612db7b073","科创教育业务部","","2025-11-20"
"飞飞博士科技课产品介绍+天鹰系统操作培训","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=d2c941b809034d2d8105ae57f4d71f99","科创教育业务部","","2025-12-11"
"人工智能课产品介绍","产品类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=1067a6b5afc8463a938c0a26fe611c47","科创教育业务部","","2025-12-19"
"人工智能课市场政策及赛事宣贯","市场类","提升一线基线能力，掌握业务部市场策略动向","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=c86b9e276fda406d8f830ddb70037070","科创教育业务部","","2025-12-25"
"题库上云及双中心架构演进及实践","研发技术类","本次分享主要介绍学科资源平台题库模块的上云和双中心设计及方案实践。包括上云整体分析、数据同步、流量路由、云环境性能/稳定性/流量回放，讲述从分析到实施再到验证的过程及遇到的问题和对应解决措施。","https://www.21tb.cn/IN4NE0iRiqePp","技术平台部","","2025-04-02"
"从智慧窗到星火智慧黑板——课堂大屏授课应用架构演进分享","研发技术类","本次分享主要介绍畅言智慧课堂从小屏备课到大屏备受课一体得发展，聚焦智慧窗软硬一体的应用体系，在大模型能力加持下如何实现基于大屏得数字化板书教学和资源快速检索调用","https://www.21tb.cn/IN4NE0iSpW5cp","技术平台部","","2025-04-16"
"多维表格在教育事业群IT数字化项目中的实践与应用开发","研发技术类","本次分享将聚焦飞书多维表格在企业IT数字化项目中的实际应用，探讨其如何支持敏捷开发、优化业务流程及提升数据可视化效率。同时，结合开发案例，展示如何通过多维表格的API及扩展功能实现与现有系统的无缝集成，为企业打造智能化、协同化的数字化工作平台。","https://ebg.iflytek.com/course/detail?id=zc7umuwsy5hexj9sbh0g8o6p","技术平台部","","2025-05-28"
"大模型提效专项第三期——云原生Cursor提效、场景化测试实战及MCP协议驱动工程化","研发技术类","聚焦大模型降本增效与技术前瞻性，学习如何提升研发效率。","https://ebg.iflytek.com/course/detail?id=n8unnhj2kut1datwguhlc1d7","技术平台部","","2025-05-27"
"试题排版引擎的设计与实现：从数据结构到排版优化","研发技术类","本次分享主要介绍项目初期面临的部分重难点挑战，同时全面详细介绍了研发过程中的技术选型和方案决策，对前端标签解析和原生绘制有一定参考意义","https://ebg.iflytek.com/course/detail?id=jl5pgcqqev1x6jo2315ben8o","技术平台部","","2025-08-06"
"信息科技Web端技术实践","研发技术类","本次分享主要介绍AI创新信息科技PC客户端如何从零到一搭建微前端的开发体系，以及协同文档的最佳实践。通过详细的分析，介绍信息科技PC客户端基于Single-Spa的微前端的最佳工程实践，从代码级别讨论微前端的轻耦合、易维护、易更新等特点。旨在为PC客户端前端、Web前端等技术人员提供微前端实现发的思路和参考。同时介绍在信息科技局域网教学环境如何实现文档协同。","https://ebg.iflytek.com/course/detail?id=kfb8h4n4ibz0nx7hw04eyeot","技术平台部","","2025-03-20"
"基于星火大模型的分步骤解题系统建设之路","研发技术类","本次分享主要介绍爱学团队是如何从0开始，逐步开发出满足用户刚需场景的大模型辅学产品。从用户需求出发，探讨如何立足当前模型能力水平和资源现状，选择合适的技术方案，逐步解决过程中的关键问题，最终达到真正满足用户刚需的产品目标。","https://ebg.iflytek.com/course/detail?id=qgzog2zp0784ctn8dkjdp6pi","技术平台部","","2025-07-02"
"教育大模型测试实践","研发技术类","本次分享主要介绍大模型在教育落地的测试实践。整体架构从功能聚合开发模式到智能体开发模式，在演进过程中遇到的问题以及解决措施，并重新定义了在智能体模式下对测试边界和方式。","https://ebg.iflytek.com/course/detail?id=gg5wltsjsth2c4azsdme0wul","技术平台部","","2025-07-23"
"大学情作业基础平台架构演进之路","研发技术类","本次分享主要介绍作业基础平台从0到1的建设过程，包括从前期的业务分析、架构设计、演进实践。着重介绍过程中踩过的坑，以及采用什么样的解决方案。","https://ebg.iflytek.com/course/detail?id=h0vn7su4n31y4y2d9qh07zj8","技术平台部","","2025-09-03"
"学习机开学季稳定性保障实战","研发技术类","本次分享围绕学习机开学季，流量突发暴涨，分析学习机业务调用链路设计的应用/平台/AI，全链路分析评估风险、资源扩容、梳理应急预案和故障演练。保障学习机开学季的稳定性","https://ebg.iflytek.com/course/detail?id=fsrh5b524o24nwyuivmu9ugn","技术平台部","","2025-10-15"
"易听说服务端云原生实践","研发技术类","本次分享主要从关键选型、架构设计、框架设计等方面介绍易听说服务端云原生演进和重构的过程,对较为陈旧业务系统改造成云原生系统有指导意义.","https://ebg.iflytek.com/course/detail?id=xrpgzivp25pqgbta945h0nz1","技术平台部","","2025-10-29"
"Linux 从入门到进阶：体系化原理与实战定位","研发技术类","本次分享以“一切皆文件”为锚点，沿系统真实启动时序展开：从 BIOS/UEFI → Kernel → Initrd → systemd → 会话总线 → 图形会话 → 用户应用，逐层拆解关键模块、配置项与调试接口。通过 live demo 演示启动故障问题排查手段。","https://ebg.iflytek.com/course/detail?id=we8wvr5gnyfgqcbpfea8jwze","技术平台部","","2025-11-12"
"整机自动化测试效率提升","研发技术类","本次分享将系统介绍教育BG测试平台和学习机产线的整机自动化测试体系建设，重点围绕测试能力构建与平台化发展两大维度展开。在测试能力建设方面，将详细阐述测试框架的持续优化、测试工具链的完善，以及在“软硬一体”场景下的自动化测试实践与挑战应对。平台化建设部分，将分享教育云真机平台与云测平台的设计思路、落地经验与成效总结。期待通过本次交流，为从事端侧自动化与整机测试的同事提供可借鉴的方法与实践参考。","https://ebg.iflytek.com/course/detail?id=jl2eo3mou0uxxrs2l64kx0o4","技术平台部","","2025-11-26"
"离线虚拟人在学习机的建设和实践","研发技术类","本次分享主要分享主要介绍学习机离线虚拟人的建设方案和演进迭代，以及端侧AI能力、 Android音视频和openGL在离线虚拟人技术方案中的运用，","https://ebg.iflytek.com/course/detail?id=qu70y81tzdozay1z0qmsk8ks","技术平台部","","2025-12-10"
"数据治理在教育行业项目的持续迭代","研发技术类","本次分享主要介绍教育BG各产品应用数据资产情况，以及在省、市、区、校项目中数据治理服务(数字基座)围绕讯飞数据资产如何进行快速交付。其中数据治理服务包含数据资源调研、数据汇聚、数据质量分析及规整、数据资产分类及共享等模块设计及规模化交付。最后，展示在多个典型项目中实践落地及取得的成效。","https://ebg.iflytek.com/course/detail?id=b9jqpad4sbo1thhe6rpor5sn","技术平台部","","2025-12-24"
"AI原生编程工具的介绍与实战案例","研发技术类","此次分享会将针对AI原生编程工具、使用场景以及实战案例进行介绍，共建大模型提效的学习之路。","https://ebg.iflytek.com/course/detail?id=h0lcvp9o57qvsfkbvfnm6jdz","技术平台部","","2025-03-19"
"大模型最新进展及教育场景落地","研发技术类","本次分享将重点介绍行业大模型的最新发展进展以及从技术角度阐述大模型的基本原理，并重点对DeepSeek的技术进行分析。最后介绍大模型工程实践以及在教育落地实践经验。","https://ebg.iflytek.com/course/detail?id=jmhga7xdw0bqo8atrns0l5xe","技术平台部","精品课程","2025-05-21"
"智学网架构治理的得与失","研发技术类","本次分享主要包含智学网在业务增长与业务逻辑不断复杂的过程当中，智学网进行服务治理体系的建设和架构演进的策略方案，针对采取这种方案的原因、得到的帮助与引发的问题等内容进行讨论。","https://ebg.iflytek.com/course/detail?id=wg8y63lybewjkui5kernrdua","技术平台部","精品课程","2025-07-16"
"国产化相关背景及教育产品国产化进展介绍","研发技术类","一、信创政策和行业介绍：介绍信创政策和行业情况，以及教育BG当前信创适配进展，以及未来计划
二、鸿蒙介绍：介绍华为鸿蒙情况，以及教育BG当前鸿蒙适配进展，以及未来计划","https://ebg.iflytek.com/course/detail?id=rsef3qzvnxnp31sg4gvtbwsd","技术平台部","精品课程","2025-09-16"
"大模型赋能课堂产品和技术创新","研发技术类","聚焦大模型技术如何重塑教育场景，面向产品与开发人员解析业务变革与实践路径。从业务趋势切入，探讨大模型驱动的个性化教学、生成式课堂新形态，并拆解竞品技术路径，提炼差异化竞争策略。通过剖析基于大模型的课件生成、全自然语音寄哦话等典型场景，揭示大模型在备课、授课、评价环节的技术落地方案。同时，前瞻智能体协作、学科工具智能调度等未来方向，探索生成式课堂的演进可能。最终回归技术驱动创新的底层逻辑，结合案例总结“场景-技术-产品”闭环方法论。","https://ebg.iflytek.com/course/detail?id=fpvqkj8fwhtsh43gz2h5jpxg","技术平台部","精品课程","2025-11-06"
"教育BG云原生演进实践讨论","研发技术类","从云原生技术演进的长链路切入，围绕计算形态升级、系统架构重塑与工程体系进化三条主线，展开对容器化、调度体系、服务通信、弹性机制与可观测模型等深度技术命题的系统性解读；并结合教育BG在真实场景中的演进路径，展示云原生如何在复杂业务环境里落成更高效的交付方式、更稳定的运行形态与更可持续的技术发展模式。","https://ebg.iflytek.com/course/detail?id=v8x7ujvpb32dyp6zuyypldy8","技术平台部","精品课程","2025-11-13"
"业界大模型研发提效案例分享及业务落地思考","研发技术类","随着大模型辅助编程技术加速演进，提升研发效能与推动工具落地成为核心关注目标。本次分享介绍QCon北京站中学习的多个实践案例，覆盖模型微调、AI IDE建设、漏洞分析、技术管理改进等环节，并介绍在大学情、学习机的实践案例，探讨如何通过大模型技术赋能研发活动，促进产研效能提升。","https://ebg.iflytek.com/course/detail?id=dpqrikjqthoje4uaalt1cm3y","技术平台部","","2025-09-24"
"大模型赋能考试业务研发流程以及人才发展的探索与实践","研发技术类","大模型时代到来，既是机会也是挑战，如何高效利用大模型赋能研发提效以及让团队更好地适应新的变革已然成为热点话题，也是从本次QECon大会学习到的重要课题。本期分享主要包含大模型时代在考试业务研发管理、团队建设以及人才发展的探索与实践。","https://ebg.iflytek.com/course/detail?id=tyk38msaepp4hab5n5vyq1xv","技术平台部","","2025-12-03"
